№,Наименование предприятия,ОКВЭД,Вид деятельности,Отчетный период прошлого года (В натуральном выражении),Отчетный период прошлого года (В стоимостном выражении),Отчетный период текущего года (В натуральном выражении),Отчетный период текущего года (В стоимостном выражении),"Отношение периодов, %",Отчетный месяц прошлого года (В натуральном выражении),Отчетный месяц прошлого года (В стоимостном выражении),Отчетный месяц текущего года (В натуральном выражении),Отчетный месяц текущего года (В стоимостном выражении),"Отношение месяцев, %",Год,Месяц
1.0,Предприятие 1,Добыча полезных ископаемых,добыча металлических руд,,100000.0,120.0,120000.0,,75.0,75000.0,84.0,84000.0,112.0,2020,январь
2.0,Предприятие 2,Добыча полезных ископаемых,добыча металлических руд,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,январь
3.0,Предприятие 3,Добыча полезных ископаемых,добыча металлических руд,,560000.0,516.0,520000.0,,80.0,80000.0,70.0,70000.0,87.5,2020,январь
4.0,Предприятие 4,Добыча полезных ископаемых,добыча металлических руд,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,январь
5.0,Предприятие 5,Добыча полезных ископаемых,добыча металлических руд,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,январь
,"Итого удельный вес, в % ",Добыча полезных ископаемых,добыча металлических руд,,,,,,,,,,,2020,январь
6.0,Предприятие 6,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,550.0,550000.0,330.0,330000.0,60.0,80.0,80000.0,70.0,70000.0,87.5,2020,январь
7.0,Предприятие 7,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,,120000.0,100.0,100000.0,,55.0,55000.0,35.0,35000.0,63.63636363636363,2020,январь
,"Итого удельный вес, в % ",Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,,,,,,,,,,,2020,январь
8.0,Предприятие 8,Добыча полезных ископаемых,добыча прочих полезных ископаемых,100.0,100000.0,90.0,90000.0,90.0,77.0,77000.0,60.0,60000.0,77.92207792207795,2020,январь
9.0,Предприятие 9,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,330.0,330000.0,80.0,80000.0,24.24242424242424,78.0,78000.0,70.0,70000.0,89.74358974358975,2020,январь
10.0,Предприятие 10,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,150.0,150000.0,100.0,100000.0,66.66666666666666,88.0,88000.0,90.0,90000.0,102.27272727272728,2020,январь
11.0,Предприятие 11,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,550.0,550000.0,250.0,250000.0,45.45454545454545,135.0,135000.0,46.0,46000.0,34.074074074074076,2020,январь
12.0,Предприятие 12,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,2020,январь
13.0,Предприятие 13,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122447,2020,январь
,"Итого удельный вес, в %:",Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,,,,,,,,,,,2020,январь
14.0,Предприятие 14,Обрабатывающие производства,производство текстильных изделий ,96.0,100000.0,112.0,150000.0,116.66666666666669,70.0,70000.0,90.0,90000.0,128.57142857142858,2020,январь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство текстильных изделий ,,,,,,,,,,,2020,январь
15.0,Предприятие 15,Обрабатывающие производства,производство одежды,300.0,300000.0,100.0,100000.0,33.33333333333333,50.0,50000.0,45.0,45000.0,90.0,2020,январь
16.0,Предприятие 16,Обрабатывающие производства,производство одежды,220.0,220000.0,200.0,200000.0,90.9090909090909,78.0,78000.0,65.0,65000.0,83.33333333333334,2020,январь
